@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute oschook-1 numeric
@attribute oschook-2 numeric
@attribute oschook-3 numeric
@attribute oschook-4 numeric
@attribute outputs-1 {0,1,2}

@data
121,'2023/12/10 03:23:50:447',3,158.092468,-0.160035,-1.71985,0,?
122,'2023/12/10 03:23:50:463',3,156.445129,-0.181824,-1.399708,0,?
123,'2023/12/10 03:23:50:511',3,154.93515,-0.245555,-1.083807,0,?
124,'2023/12/10 03:23:50:574',3,153.513885,-0.176257,-0.841714,0,?
125,'2023/12/10 03:23:50:653',3,152.140427,0.13618,-0.643354,0,?
126,'2023/12/10 03:23:50:685',3,151.01506,0.417551,-0.488904,0,?
127,'2023/12/10 03:23:50:764',3,149.905334,0.64697,-0.392499,0,?
128,'2023/12/10 03:23:50:812',3,148.602371,0.757474,-0.285568,0,?
129,'2023/12/10 03:23:50:860',3,147.410873,0.75752,-0.23352,0,?
130,'2023/12/10 03:23:50:970',3,146.128113,0.634336,-0.313166,0,?
131,'2023/12/10 03:23:50:987',3,144.683884,0.5398,-0.32267,0,?
132,'2023/12/10 03:23:51:065',3,143.4048,0.454961,-0.356024,0,?
133,'2023/12/10 03:23:51:112',3,142.156998,0.402875,-0.376271,0,?
134,'2023/12/10 03:23:51:177',3,141.047089,0.366998,-0.408244,0,?
135,'2023/12/10 03:23:51:225',3,139.892303,0.340784,-0.438134,0,?
136,'2023/12/10 03:23:51:288',3,138.778946,0.357473,-0.493211,0,?
137,'2023/12/10 03:23:51:383',3,137.783798,0.358366,-0.548086,0,?
138,'2023/12/10 03:23:51:414',3,136.815781,0.390583,-0.593877,0,?
139,'2023/12/10 03:23:51:478',3,135.852005,0.40534,-0.650115,0,?
140,'2023/12/10 03:23:51:525',3,134.985809,0.425999,-0.691559,0,?
141,'2023/12/10 03:23:51:590',3,134.15892,0.455923,-0.756897,0,?
142,'2023/12/10 03:23:51:683',3,133.311752,0.491664,-0.806917,0,?
143,'2023/12/10 03:23:51:714',3,132.568466,0.526979,-0.875768,0,?
144,'2023/12/10 03:23:51:793',3,131.821243,0.533527,-0.926619,0,?
145,'2023/12/10 03:23:51:824',3,131.152634,0.538801,-0.980319,0,?
146,'2023/12/10 03:23:51:888',3,130.489044,0.529563,-1.059776,0,?
147,'2023/12/10 03:23:51:998',3,129.806152,0.540936,-1.124622,0,?
148,'2023/12/10 03:23:52:014',3,129.208908,0.541709,-1.193344,0,?
149,'2023/12/10 03:23:52:093',3,128.611984,0.525872,-1.225951,0,?
150,'2023/12/10 03:23:52:124',3,128.001892,0.48226,-1.247642,0,?
151,'2023/12/10 03:23:52:188',3,127.434753,0.436083,-1.245981,0,?
152,'2023/12/10 03:23:52:251',3,126.887451,0.424086,-1.249708,0,?
153,'2023/12/10 03:23:52:315',3,126.414749,0.397721,-1.248525,0,?
154,'2023/12/10 03:23:52:394',3,125.945885,0.357144,-1.254903,0,?
155,'2023/12/10 03:23:52:426',3,125.475945,0.299044,-1.24469,0,?
156,'2023/12/10 03:23:52:506',3,125.049469,0.253146,-1.225407,0,?
157,'2023/12/10 03:23:52:553',3,124.653847,0.199893,-1.210627,0,?
158,'2023/12/10 03:23:52:601',3,124.218315,0.151861,-1.197716,0,?
159,'2023/12/10 03:23:52:712',3,123.817596,0.105562,-1.176289,0,?
160,'2023/12/10 03:23:52:728',3,123.472107,0.087937,-1.159742,0,?
161,'2023/12/10 03:23:52:807',3,123.167305,0.072351,-1.121822,0,?
162,'2023/12/10 03:23:52:854',3,122.912315,0.061433,-1.081277,0,?
163,'2023/12/10 03:23:52:918',3,122.661552,0.035653,-1.027324,0,?
164,'2023/12/10 03:23:52:965',3,122.461121,0.012001,-0.988424,0,?
165,'2023/12/10 03:23:53:028',3,122.292778,0.011063,-0.96695,0,?
166,'2023/12/10 03:23:53:122',3,122.135895,0.009254,-0.941789,0,?
167,'2023/12/10 03:23:53:154',3,122.007736,0.037694,-0.939807,0,?
168,'2023/12/10 03:23:53:217',3,121.892662,0.012486,-0.946075,0,?
169,'2023/12/10 03:23:53:265',3,121.794891,-0.003811,-0.959469,0,?
170,'2023/12/10 03:23:53:328',3,121.69696,-0.011185,-0.967054,0,?
171,'2023/12/10 03:23:53:423',3,121.60659,0.001944,-0.983648,0,?
172,'2023/12/10 03:23:53:454',3,121.523033,0.005705,-1.001057,0,?
173,'2023/12/10 03:23:53:533',3,121.437431,-0.005226,-1.012629,0,?
174,'2023/12/10 03:23:53:580',3,121.367538,0.005789,-1.051523,0,?
175,'2023/12/10 03:23:53:628',3,121.317101,0.010619,-1.070997,0,?
176,'2023/12/10 03:23:53:725',3,121.274933,0.019682,-1.089912,0,?
177,'2023/12/10 03:23:53:740',3,121.236916,0.009016,-1.096372,0,?
178,'2023/12/10 03:23:53:835',3,121.213982,0.0231,-1.102028,0,?
179,'2023/12/10 03:23:53:866',3,121.192879,0.028576,-1.095806,0,?
180,'2023/12/10 03:23:53:930',3,121.173401,0.048731,-1.090744,0,?
181,'2023/12/10 03:23:53:993',3,121.15226,0.056261,-1.087806,0,?
182,'2023/12/10 03:23:54:041',3,121.14016,0.051689,-1.094739,0,?
183,'2023/12/10 03:23:54:136',3,121.133255,0.032992,-1.097747,0,?
184,'2023/12/10 03:23:54:168',3,121.128311,0.001467,-1.107232,0,?
185,'2023/12/10 03:23:54:247',3,121.082916,-0.06775,-1.114212,0,?
186,'2023/12/10 03:23:54:294',3,121.030357,-0.116902,-1.130512,0,?
187,'2023/12/10 03:23:54:342',3,120.946945,-0.179554,-1.132014,0,?
188,'2023/12/10 03:23:54:453',3,120.845253,-0.237274,-1.134893,0,?
189,'2023/12/10 03:23:54:469',3,120.720634,-0.295151,-1.150688,0,?
190,'2023/12/10 03:23:54:548',3,120.590225,-0.354611,-1.169546,0,?
191,'2023/12/10 03:23:54:580',3,120.476883,-0.411714,-1.187659,0,?
192,'2023/12/10 03:23:54:660',3,120.380043,-0.467691,-1.20748,0,?
193,'2023/12/10 03:23:54:708',3,120.2873,-0.513511,-1.230033,0,?
194,'2023/12/10 03:23:54:771',3,120.207085,-0.559899,-1.249658,0,?
195,'2023/12/10 03:23:54:851',3,120.145576,-0.579072,-1.270128,0,?
196,'2023/12/10 03:23:54:883',3,120.112801,-0.590677,-1.310812,0,?
197,'2023/12/10 03:23:54:968',3,120.091698,-0.59795,-1.350075,0,?
198,'2023/12/10 03:23:55:011',3,120.091766,-0.609677,-1.391067,0,?
199,'2023/12/10 03:23:55:075',3,120.102394,-0.616646,-1.43431,0,?
200,'2023/12/10 03:23:55:171',3,120.120247,-0.619306,-1.490173,0,?
