@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute oschook-1 numeric
@attribute oschook-2 numeric
@attribute oschook-3 numeric
@attribute oschook-4 numeric
@attribute outputs-1 {0,1,2}

@data
1,'2023/12/10 03:24:25:685',1,0.152271,-0.030646,0.985244,0,?
2,'2023/12/10 03:24:25:685',1,-0.042377,-0.098402,1.089152,0,?
3,'2023/12/10 03:24:25:685',1,0.034955,0.110133,0.913657,0,?
4,'2023/12/10 03:24:25:685',1,0.120428,-0.159693,1.074548,0,?
5,'2023/12/10 03:24:25:685',1,-0.022266,-0.150356,0.963696,0,?
6,'2023/12/10 03:24:25:685',1,0.286347,-0.056982,1.087716,0,?
7,'2023/12/10 03:24:25:685',1,-0.016759,-0.099599,0.917009,0,?
8,'2023/12/10 03:24:25:701',1,-0.149398,-0.051236,0.976146,0,?
9,'2023/12/10 03:24:25:701',1,0.03304,-0.070868,1.636018,0,?
10,'2023/12/10 03:24:25:701',1,0.076136,-0.017717,0.918925,0,?
11,'2023/12/10 03:24:25:701',1,0.132878,0.142216,0.861464,0,?
12,'2023/12/10 03:24:25:701',1,0.095529,0.134554,0.956035,0,?
13,'2023/12/10 03:24:25:701',1,-0.006943,0.041899,1.079097,0,?
14,'2023/12/10 03:24:25:701',1,0.001197,0.04956,0.951486,0,?
15,'2023/12/10 03:24:25:701',1,0.04118,0.072784,0.99099,0,?
16,'2023/12/10 03:24:25:701',1,0.053391,0.080685,0.981413,0,?
17,'2023/12/10 03:24:25:701',1,0.055067,0.084515,0.989553,0,?
18,'2023/12/10 03:24:25:701',1,0.026097,0.085952,0.966569,0,?
19,'2023/12/10 03:24:25:701',1,0.046448,0.081163,0.991708,0,?
20,'2023/12/10 03:24:25:701',1,0.054109,0.094332,0.999609,0,?
21,'2023/12/10 03:24:25:701',1,0.038307,0.107021,0.960344,0,?
22,'2023/12/10 03:24:25:701',1,0.044532,0.094092,0.989075,0,?
23,'2023/12/10 03:24:26:994',1,0.050278,0.102472,0.976864,0,?
24,'2023/12/10 03:24:26:994',1,0.060334,0.097923,0.984286,0,?
25,'2023/12/10 03:24:26:994',1,0.05387,0.10343,0.984047,0,?
26,'2023/12/10 03:24:27:010',1,0.069432,0.10343,0.984765,0,?
27,'2023/12/10 03:24:27:010',1,0.043335,0.105345,0.976864,0,?
28,'2023/12/10 03:24:27:010',1,0.063686,0.10343,0.973034,0,?
29,'2023/12/10 03:24:27:010',1,0.051954,0.103669,0.979977,0,?
30,'2023/12/10 03:24:27:010',1,0.064165,0.111091,0.972076,0,?
31,'2023/12/10 03:24:27:010',1,0.063207,0.104387,0.980695,0,?
32,'2023/12/10 03:24:27:010',1,0.055785,0.109415,0.987878,0,?
33,'2023/12/10 03:24:27:010',1,0.060813,0.110852,0.966569,0,?
34,'2023/12/10 03:24:27:010',1,0.073741,0.116598,0.994342,0,?
35,'2023/12/10 03:24:27:010',1,0.068953,0.121386,0.965611,0,?
36,'2023/12/10 03:24:27:010',1,0.071826,0.11971,0.994102,0,?
37,'2023/12/10 03:24:27:010',1,0.061292,0.118034,1.001046,0,?
38,'2023/12/10 03:24:27:010',1,0.056503,0.126893,0.989314,0,?
39,'2023/12/10 03:24:27:010',1,0.085952,0.15682,0.992187,0,?
40,'2023/12/10 03:24:27:010',1,0.118992,0.195606,1.002243,0,?
41,'2023/12/10 03:24:27:010',1,0.072544,0.227928,1.037677,0,?
42,'2023/12/10 03:24:27:010',1,0.156581,0.256419,1.016369,0,?
43,'2023/12/10 03:24:27:010',1,0.095768,0.283473,0.951965,0,?
44,'2023/12/10 03:24:27:025',1,0.131681,0.313401,0.912221,0,?
45,'2023/12/10 03:24:28:300',1,0.135272,0.383791,0.795863,0,?
46,'2023/12/10 03:24:28:300',1,0.106303,0.40462,0.883012,0,?
47,'2023/12/10 03:24:28:300',1,0.121386,0.467348,0.727388,0,?
48,'2023/12/10 03:24:28:300',1,0.18172,0.500897,0.724276,0,?
49,'2023/12/10 03:24:28:300',1,0.159214,0.516938,0.84662,0,?
